2017-11-13 19:06:29,385 | INFO  | main                           | properties                     | L122  | 			 ==================================================
2017-11-13 19:06:29,385 | INFO  | main                           | properties                     | L123  | properties file is '.\FilterRegistry.properties'
2017-11-13 19:06:29,400 | DEBUG | main                           | properties                     | L132  | Last modified date: Mon Nov 06 14:14:19 IST 2017
2017-11-13 19:06:29,400 | INFO  | main                           | properties                     | L309  | Setting properties to the values written in file 'FilterRegistry.properties'
2017-11-13 19:06:29,416 | INFO  | main                           | properties                     | L353  | FILTER_IDS                                    = '[Ljava.lang.String;@6a79c292'          <<<< Previous value was 'null'      
2017-11-13 19:06:29,416 | INFO  | main                           | properties                     | L353  | FILTER_IMPLS                                  = '[Ljava.lang.String;@38364841'          <<<< Previous value was 'null'      
2017-11-13 19:06:29,416 | INFO  | main                           | properties                     | L369  | 			 ==================================================

2017-11-13 19:06:29,479 | INFO  | main                           | UDPSink                        | L285  | It seems that system properties 'PRIVATE_NETWORK' and 'PUBLIC_NETWORK' have not been set properly
2017-11-13 19:06:29,479 | INFO  | main                           | CMSFileSource                  | L315  | After offsetFile.seek(offset)
2017-11-13 19:06:29,479 | INFO  | main                           | CMSFileSource                  | L319  | After prefetchOffset()
2017-11-13 19:06:29,479 | INFO  | main                           | CMSFileSource                  | L325  | After dataFile.seek(pi.getPacketOffset())
2017-11-13 19:06:29,479 | INFO  | main                           | CMSFileSource                  | L329  | After prefetchData()
2017-11-13 19:06:29,489 | INFO  | CMSFileSource_PullRunnable     | CMSFileSource                  | L122  | after prefetchOffset
2017-11-13 19:06:29,551 | INFO  | CMSFileSource_PullRunnable     | CMSFileSource                  | L106  | after prefetchData
2017-11-13 19:06:29,886 | INFO  | CMSFileSource_PullRunnable     | CMSFileSource                  | L122  | after prefetchOffset
2017-11-13 19:06:30,010 | INFO  | CMSFileSource_PullRunnable     | CMSFileSource                  | L106  | after prefetchData
2017-11-13 19:06:30,293 | INFO  | CMSFileSource_PullRunnable     | CMSFileSource                  | L122  | after prefetchOffset
2017-11-13 19:08:42,702 | INFO  | eSource_SourceDeliveryRunnable | UDPSink                        | L102  | EOM posting event
2017-11-13 19:08:42,703 | INFO  | EventManager_EventReporter     | CMSFileSource                  | L315  | After offsetFile.seek(offset)
2017-11-13 19:08:42,704 | INFO  | EventManager_EventReporter     | CMSFileSource                  | L319  | After prefetchOffset()
2017-11-13 19:08:42,704 | INFO  | EventManager_EventReporter     | CMSFileSource                  | L325  | After dataFile.seek(pi.getPacketOffset())
2017-11-13 19:08:42,704 | INFO  | EventManager_EventReporter     | CMSFileSource                  | L329  | After prefetchData()
2017-11-13 19:08:42,705 | INFO  | EventManager_EventReporter     | CMSFileSource                  | L315  | After offsetFile.seek(offset)
2017-11-13 19:08:42,705 | INFO  | EventManager_EventReporter     | CMSFileSource                  | L319  | After prefetchOffset()
2017-11-13 19:08:42,706 | INFO  | EventManager_EventReporter     | CMSFileSource                  | L325  | After dataFile.seek(pi.getPacketOffset())
2017-11-13 19:08:42,706 | INFO  | EventManager_EventReporter     | CMSFileSource                  | L329  | After prefetchData()
2017-11-13 19:10:55,929 | INFO  | eSource_SourceDeliveryRunnable | UDPSink                        | L102  | EOM posting event
2017-11-13 19:10:55,930 | INFO  | EventManager_EventReporter     | CMSFileSource                  | L315  | After offsetFile.seek(offset)
2017-11-13 19:10:55,931 | INFO  | EventManager_EventReporter     | CMSFileSource                  | L319  | After prefetchOffset()
2017-11-13 19:10:55,931 | INFO  | EventManager_EventReporter     | CMSFileSource                  | L325  | After dataFile.seek(pi.getPacketOffset())
2017-11-13 19:10:55,932 | INFO  | EventManager_EventReporter     | CMSFileSource                  | L329  | After prefetchData()
2017-11-13 19:10:55,933 | INFO  | EventManager_EventReporter     | CMSFileSource                  | L315  | After offsetFile.seek(offset)
2017-11-13 19:10:55,933 | INFO  | EventManager_EventReporter     | CMSFileSource                  | L319  | After prefetchOffset()
2017-11-13 19:10:55,934 | INFO  | EventManager_EventReporter     | CMSFileSource                  | L325  | After dataFile.seek(pi.getPacketOffset())
2017-11-13 19:10:55,935 | INFO  | EventManager_EventReporter     | CMSFileSource                  | L329  | After prefetchData()
2017-11-13 19:13:09,159 | INFO  | eSource_SourceDeliveryRunnable | UDPSink                        | L102  | EOM posting event
2017-11-13 19:13:09,167 | INFO  | EventManager_EventReporter     | CMSFileSource                  | L315  | After offsetFile.seek(offset)
2017-11-13 19:13:09,168 | INFO  | EventManager_EventReporter     | CMSFileSource                  | L319  | After prefetchOffset()
2017-11-13 19:13:09,169 | INFO  | EventManager_EventReporter     | CMSFileSource                  | L325  | After dataFile.seek(pi.getPacketOffset())
2017-11-13 19:13:09,171 | INFO  | EventManager_EventReporter     | CMSFileSource                  | L329  | After prefetchData()
2017-11-13 19:13:09,176 | INFO  | EventManager_EventReporter     | CMSFileSource                  | L315  | After offsetFile.seek(offset)
2017-11-13 19:13:09,178 | INFO  | EventManager_EventReporter     | CMSFileSource                  | L319  | After prefetchOffset()
2017-11-13 19:13:09,181 | INFO  | EventManager_EventReporter     | CMSFileSource                  | L325  | After dataFile.seek(pi.getPacketOffset())
2017-11-13 19:13:09,184 | INFO  | EventManager_EventReporter     | CMSFileSource                  | L329  | After prefetchData()
2017-11-13 19:15:22,412 | INFO  | eSource_SourceDeliveryRunnable | UDPSink                        | L102  | EOM posting event
2017-11-13 19:15:22,420 | INFO  | EventManager_EventReporter     | CMSFileSource                  | L315  | After offsetFile.seek(offset)
2017-11-13 19:15:22,421 | INFO  | EventManager_EventReporter     | CMSFileSource                  | L319  | After prefetchOffset()
2017-11-13 19:15:22,422 | INFO  | EventManager_EventReporter     | CMSFileSource                  | L325  | After dataFile.seek(pi.getPacketOffset())
2017-11-13 19:15:22,424 | INFO  | EventManager_EventReporter     | CMSFileSource                  | L329  | After prefetchData()
2017-11-13 19:15:22,425 | INFO  | EventManager_EventReporter     | CMSFileSource                  | L315  | After offsetFile.seek(offset)
