2018-01-20 16:32:01,334 | INFO  | main                           | properties                     | L122  | 			 ==================================================
2018-01-20 16:32:01,336 | INFO  | main                           | properties                     | L123  | properties file is './FilterRegistry.properties'
2018-01-20 16:32:01,339 | DEBUG | main                           | properties                     | L132  | Last modified date: Thu Jun 04 17:35:46 IDT 2015
2018-01-20 16:32:01,340 | INFO  | main                           | properties                     | L309  | Setting properties to the values written in file 'FilterRegistry.properties'
2018-01-20 16:32:01,346 | INFO  | main                           | properties                     | L353  | FILTER_IDS                                    = '[Ljava.lang.String;@6477463f'          <<<< Previous value was 'null'      
2018-01-20 16:32:01,348 | INFO  | main                           | properties                     | L353  | FILTER_IMPLS                                  = '[Ljava.lang.String;@7506e922'          <<<< Previous value was 'null'      
2018-01-20 16:32:01,348 | INFO  | main                           | properties                     | L369  | 			 ==================================================

2018-01-20 16:32:01,385 | INFO  | main                           | UDPSink                        | L285  | It seems that system properties 'PRIVATE_NETWORK' and 'PUBLIC_NETWORK' have not been set properly
2018-01-20 16:32:01,393 | INFO  | main                           | CMSFileSource                  | L315  | After offsetFile.seek(offset)
2018-01-20 16:32:01,393 | INFO  | main                           | CMSFileSource                  | L319  | After prefetchOffset()
2018-01-20 16:32:01,394 | INFO  | main                           | CMSFileSource                  | L325  | After dataFile.seek(pi.getPacketOffset())
2018-01-20 16:32:01,394 | INFO  | main                           | CMSFileSource                  | L329  | After prefetchData()
2018-01-20 16:32:01,398 | INFO  | CMSFileSource_PullRunnable     | CMSFileSource                  | L122  | after prefetchOffset
2018-01-20 16:32:01,467 | INFO  | CMSFileSource_PullRunnable     | CMSFileSource                  | L106  | after prefetchData
2018-01-20 16:32:01,801 | INFO  | CMSFileSource_PullRunnable     | CMSFileSource                  | L122  | after prefetchOffset
2018-01-20 16:32:01,926 | INFO  | CMSFileSource_PullRunnable     | CMSFileSource                  | L106  | after prefetchData
2018-01-20 16:32:02,209 | INFO  | CMSFileSource_PullRunnable     | CMSFileSource                  | L122  | after prefetchOffset
2018-01-20 16:34:14,619 | INFO  | eSource_SourceDeliveryRunnable | UDPSink                        | L102  | EOM posting event
2018-01-20 16:34:14,620 | INFO  | EventManager_EventReporter     | CMSFileSource                  | L315  | After offsetFile.seek(offset)
2018-01-20 16:34:14,621 | INFO  | EventManager_EventReporter     | CMSFileSource                  | L319  | After prefetchOffset()
2018-01-20 16:34:14,621 | INFO  | EventManager_EventReporter     | CMSFileSource                  | L325  | After dataFile.seek(pi.getPacketOffset())
2018-01-20 16:34:14,621 | INFO  | EventManager_EventReporter     | CMSFileSource                  | L329  | After prefetchData()
2018-01-20 16:34:14,622 | INFO  | EventManager_EventReporter     | CMSFileSource                  | L315  | After offsetFile.seek(offset)
2018-01-20 16:34:14,622 | INFO  | EventManager_EventReporter     | CMSFileSource                  | L319  | After prefetchOffset()
2018-01-20 16:34:14,622 | INFO  | EventManager_EventReporter     | CMSFileSource                  | L325  | After dataFile.seek(pi.getPacketOffset())
2018-01-20 16:34:14,623 | INFO  | EventManager_EventReporter     | CMSFileSource                  | L329  | After prefetchData()
2018-01-20 16:36:27,847 | INFO  | eSource_SourceDeliveryRunnable | UDPSink                        | L102  | EOM posting event
